time,open,high,low,close,volume,amount
2019-09-25 14:00:00,1019.61963396,1019.766924,1018.25936712,1018.78787844,15286,17981760.0
2019-09-25 14:05:00,1018.3980796812,1020.633336,1018.3980796812,1020.5466948,24158,28446992.0
2019-09-25 14:10:00,1020.55535892,1021.07520612,1020.5466948,1021.07520612,16147,19021344.0
2019-09-25 14:15:00,1021.07520612,1022.36616,1020.7632978,1022.34016764,33665,39714640.0
2019-09-25 14:20:00,1022.34016764,1022.34016764,1021.499748,1022.2795188,22357,26369424.0
2019-09-25 14:25:00,1022.2795188,1022.28818292,1021.7684223612,1021.95894636,24941,29423568.0
2019-09-25 14:30:00,1021.95894636,1022.16688524,1020.4601402412,1020.62467188,42755,50391328.0
2019-09-25 14:35:00,1020.59867952,1022.799366,1020.59867952,1022.2969336812,69322,81767360.0
2019-09-25 14:40:00,1022.80803012,1023.12860256,1020.633336,1020.7199772,34019,40127248.0
2019-09-25 14:45:00,1020.7199772,1021.92428988,1020.39940476,1020.633336,57290,67505232.0
2019-09-25 14:50:00,1020.64200012,1021.04921376,1018.900512,1019.52432864,92349,108765440.0
2019-09-25 14:55:00,1019.766924,1019.766924,1018.0341,1018.467306,54548,64124848.0
2019-09-25 15:00:00,1018.467306,1018.7273162412,1017.167688,1017.167688,129013,151547984.0
2019-09-26 09:35:00,1017.98211528,1025.2686402,1017.06371856,1022.5394424,226249,266792590.0
2019-09-26 09:40:00,1023.232572,1024.78344948,1019.766924,1020.633336,98708,116500834.0
2019-09-26 09:45:00,1020.3734124,1022.26219056,1019.19509208,1019.74959576,75088,88424816.0
2019-09-26 09:50:00,1019.74959576,1023.665778,1018.90917612,1019.766924,64662,76148192.0
2019-09-26 09:55:00,1019.77558812,1022.35749588,1019.77558812,1022.35749588,43982,51821536.0
2019-09-26 10:00:00,1022.36616,1023.0593762412,1020.6854073612,1021.50841212,50989,60146624.0
2019-09-26 10:05:00,1021.57772508,1022.33150352,1015.86807,1017.0810468,82096,96522736.0
2019-09-26 10:10:00,1017.0810468,1017.93879468,1011.0594834,1011.51868176,121253,141919056.0
2019-09-26 10:15:00,1011.4493688,1015.434864,1011.4493688,1015.434864,72697,85070352.0
2019-09-26 10:20:00,1015.434864,1017.600894,1012.4458292412,1012.4458292412,45400,53177136.0
2019-09-26 10:25:00,1012.4458292412,1016.734482,1011.969216,1013.27749812,54325,63572176.0
2019-09-26 10:30:00,1013.4162106812,1013.70204,1011.3714783612,1011.3714783612,53795,62882688.0
2019-09-26 10:35:00,1011.1894452,1011.8825748,1009.47394944,1010.48765148,93527,109082608.0
2019-09-26 10:40:00,1010.48765148,1012.6624322412,1010.3230332,1012.6624322412,36513,42623072.0
2019-09-26 10:45:00,1012.6624322412,1015.434864,1012.6624322412,1012.71433032,37761,44169920.0
2019-09-26 10:50:00,1012.72299444,1014.568452,1011.96055188,1013.8580808012,27259,31891936.0
2019-09-26 10:55:00,1013.8580808012,1013.8580808012,1012.84429212,1013.60673468,32410,37910000.0
2019-09-26 11:00:00,1013.268834,1015.68612348,1012.0558572,1012.0558572,29847,34940880.0
2019-09-26 11:05:00,1012.0558572,1013.70204,1011.57066648,1011.8825748,33703,39376368.0
2019-09-26 11:10:00,1011.87391068,1013.69337588,1011.87391068,1013.56341408,27689,32370960.0
2019-09-26 11:15:00,1013.5720782,1015.1749404,1011.969216,1012.835628,35732,41798976.0
2019-09-26 11:20:00,1013.4421164,1014.46448256,1011.969216,1013.70204,26800,31333072.0
2019-09-26 11:25:00,1012.6624322412,1014.36917724,1010.53097208,1011.09413988,41784,48786304.0
2019-09-26 11:30:00,1011.24142992,1011.2588448012,1007.62849188,1007.637156,90675,105663840.0
2019-09-26 13:05:00,1006.770744,1006.770744,1004.0069763612,1004.35345452,156197,181207392.0
2019-09-26 13:10:00,1004.39677512,1006.84872108,1004.2581492,1006.770744,60148,69766784.0
